Title,Company,City,State,Description,Skills,Experience,Job URL
Entry- Level IT Support / IT Graduate,Teekay Shipping,Sydney CBD,NSW,"Provide first-line IT support for hardware, software, network
Set up IT equipment, assist with software installations and updates
Recent IT graduate with Windows, Microsoft 365, troubleshooting skills","C, IT Support, R, SSIS",,https://au.jora.com/job/Entry-Level-IT-3eec5b08b4c4384457281ce7c7ee3976
IT Helpdesk Support (Part-Time),Nutrimetics,Gladesville,NSW,"Provide Level 1 & 2 IT support for hardware/software
Resolve technical issues, manage helpdesk tickets, and assist users
Experience with Windows/macOS, Microsoft Office, and Active Directory","Active Directory, C, IT Support, R, SSIS",,https://au.jora.com/job/IT-Helpdesk-Support-0b5f7bbb1cbdd97a6bfde79e8c5ad272
IT Support & Website Content Administrator,Holidays of Australia,Adelaide,SA,"Hybrid role combining IT support and website content administration
Requires basic technical knowledge, communication, and time management skills
Opportunity to work closely with the business and grow with company","C, IT Support, R, communication, time management",,https://au.jora.com/job/Content-Administrator-124e359d920a2b523a9c110542c92d16
IT Traineeship - Call Centre Support,WorkVentures,Alexandria,NSW,"Entry-level IT helpdesk support role with on-the-job training
Assist customers with troubleshooting, desktop support, and IT projects
Opportunity to study Certificate III in IT while working","C, Desktop Support, R, SSIS",,https://au.jora.com/job/IT-Traineeship-Call-c4629faca8d3e7a3517f7596ceecd595
Entry-level IT Service Technician,Centorrino Technologies,Coburg,VIC,"Provide Level 1 support via phone, email, and remote tools
Troubleshoot desktop, server, and networking issues; document solutions
Passion for IT, Windows, Microsoft 365, basic networking; customer service","C, Networking, R",,https://au.jora.com/job/Entry-level-IT-100e8a29cba82800a747ee3ac004e757
It Support Technician,Tropix Tech,Parramatta Park,QLD,"Provide basic IT support for Windows, servers, and printers
Work with Microsoft 365, SharePoint, and Azure AD
Ideal candidate has strong Microsoft knowledge and is willing to learn","Azure, C, IT Support, R",,https://au.jora.com/job/It-Support-Technician-f77f4a249926deb711ef200f2e6dd05a
Helpdesk Specialist,Hays Recruitment,Melbourne,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and perform account administration
Experience with Windows, macOS, Active Directory, Exchange, Office 365","Active Directory, C, IT Support, R",,https://au.jora.com/job/Helpdesk-Specialist-81094cb990fff86a970546f1ff158874
Traineeship: IT Support,Xenontech,Yagoona,NSW,"Provide onsite and offsite support to NSW Public Schools
Work with Principals, Teachers, and Administration staff
Opportunity for on-the-job training, IT certification, and career growth","C, R",,https://au.jora.com/job/Traineeship-IT-Support-a88a60382f003bec00d1eaae19bde893
Entry Level/Support Desk Help/ CRM,Kirra Services,Australia,,Entry Level/Support Desk Help/ CRM,"C, R",,https://au.jora.com/job/Entry-Level-Support-f322c7ca6cbb799bc4c5b44b2f13d8ee
IT Assistant Intern,Study and Work,Melbourne,VIC,"Relevant degree or recent graduate/skilled migrant
Technical support, system management, and IT strategy contribution
12-week work experience, structured training, job placement assistance","C, R, SSIS",,https://au.jora.com/job/IT-Assistant-Intern-d70347fc9ee990d2fd29671ca6adb6cf
Microsoft Traineeship Program - Cert IV IT,MEGT,Fyshwick,ACT,"Provide first-level technical support to clients over the phone
24-month full-time paid traineeship with Certificate IV in IT
Gain globally recognised Microsoft certifications and practical work experience","C, R",,https://au.jora.com/job/Microsoft-Traineeship-Program-84d51d7157556ebab7e7ac62b0b772ea
Level 1 Engineer,Brain Box,Brisbane,QLD,"Provide first-level technical support via phone, email, and on-site
Troubleshoot and resolve hardware, software, and network issues
Collaborate with team to escalate and resolve complex technical problems","C, R, Scala",,https://au.jora.com/job/Level-1-Engineer-60b6191942f7bd5375db08ff2744e2d9
Business Analyst,Upskill World,Bundall,QLD,"Support strategic workforce planning and hiring process audits
Contribute to job design, market salary benchmarking, and talent reporting
Bachelor’s degree in IT, HR, or Data Analytics required","C, R",,https://au.jora.com/job/Business-Analyst-4ee74c06f366cfb6d17f35dad0adfd75
IT Support,R.L Blake Pty Ltd,Cobden,VIC,"Provide IT support & troubleshooting for company systems
Maintain network accounts, permissions, and software/hardware configurations
Skills: problem-solving, Microsoft Stack, communication, organization","C, IT Support, R, communication",,https://au.jora.com/job/IT-Support-f6106e3eb3c5340fa6aa3cecba32dbfe
Graduate IT Sales Role | 12-month Salary Review - NSW,Proforce,Sydney CBD,NSW,"Entry-level role in IT sales for recent university graduates
Building relationships and advising clients on technology use
No experience required; must have completed university degree","C, R",,https://au.jora.com/job/Sales-Role-3cd3f009132236ef7bed8188bbe43812
ITS Service Support Consultant,Deloitte,Sydney,NSW,"Provide high-quality IT support for internal practitioners
Manage incidents, tasks, and requests within IT Service Management system
Experience in Microsoft product suite, Apple devices, problem-solving skills","C, IT Support, R",,https://au.jora.com/job/Service-Support-Consultant-c54a6e8e8bde7dd0115bbd42b044c4af
IT Helpdesk Support Officer,Brisbane Girls Grammar School,Spring Hill,QLD,"Primary contact for staff and student IT issues
Maintenance of school IT equipment and systems
Qualifications in IT, experience with various operating systems","C, R",,https://au.jora.com/job/IT-Helpdesk-Support-532a133fe7f6447b2373dfdf1d7c45c3
"Graduate, Level 1 (Health IT)",JOSE Health IT,Northcote,VIC,"Minimum 12 months experience in Level 1 IT Support
Strong communication skills, both written and verbal
Ability to work independently at office and client sites","C, IT Support, R, communication",,https://au.jora.com/job/Graduate-Level-1-49d7da5ee383d29463d76feed61f9e76
IT Traineeship - Hobart,NDA Computing,Hobart,TAS,"Entry-level IT traineeship for Certificate III or IV qualification
Gain workplace skills while completing IT training in Hobart
Full-time employment with opportunities for future positions","C, R",,https://au.jora.com/job/IT-Traineeship-Hobart-3af578d5a7df6b9c96a60eeba8857efd
IT Support Officer,Vocus,Melbourne,VIC,"Provide first and second level IT support to Vocus employees
Maintain accurate logs, resolve client issues, and escalate technical queries
Tertiary IT qualification, strong customer service focus, analytical skills","C, IT Support, R, Scala, analytical skills",,https://au.jora.com/job/IT-Support-Officer-af5b067ef5d0d38408b8f3a8171ac347
IT Service Desk Officer,CBHS Health Fund,Parramatta,NSW,"Provide first level IT support to CBHS Staff and contractors
Experience in IT Service Desk role and Microsoft troubleshooting skills
Certificate 4 in IT Service Desk or ITIL Certification preferred","C, IT Support, ITIL, R, Service Desk",,https://au.jora.com/job/IT-Service-Desk-5c14eb8e52363ec133d092867107cfc6
Helpdesk Specialist,Hays Recruitment,Sydney,NSW,"Provide technical support for hardware, software, and internal systems
Experience with desktop support, Azure, and Office 365 required
Troubleshoot network, assist with Active Directory, and support users","Active Directory, Azure, C, Desktop Support, R, SSIS",,https://au.jora.com/job/Helpdesk-Specialist-b7e567b307684c8d0dc21886867b8ff2
Helpdesk Officer,Hays Recruitment,Perth Southern Suburbs,WA,"First point of contact for IT-related issues within organization
Troubleshoot hardware/software problems, provide training, maintain IT records
Experience in helpdesk support, Microsoft Office, Active Directory required","Active Directory, C, R",,https://au.jora.com/job/Helpdesk-Officer-94b0ac6cb018eef5216738d107888f76
Service Desk IT Support Technician / Engineer,Network Technologies Queensland,Brendale,QLD,"Provide 1st and 2nd level IT support in dynamic environment
Experience with desktop, server, networking, and phone systems
Client-facing role requiring excellent communication and problem-solving skills","C, Excel, IT Support, Networking, R, communication",,https://au.jora.com/job/Engineer-0290c1bbd967304a10b2569575c68889
Service Centre Technician,Kinetic IT,Darwin,NT,"Provide 1st level support remotely with exceptional customer service
Troubleshoot technical issues, log jobs, and collaborate with teams
Required: customer-centric experience, communication skills, team player","C, R, communication",,https://au.jora.com/job/Service-Centre-Technician-7f6f0b07a6a1c49f7531a2ea7edb7677
Level 1 Service Desk Technician,Emerging It,North Sydney,NSW,"Provide timely technical support via phone, email, ticketing systems
Troubleshoot hardware, software, and basic network issues
Degree in IT, prior service desk experience, strong communication skills","C, R, Service Desk, communication",,https://au.jora.com/job/Service-Desk-Technician-2defa0868e3b41a470b916360d4aa780
IT Support & Database Administrator,Howe Farming Enterprises,Walkamin,QLD,"Support IT systems, troubleshoot databases, assist with R&D projects
Ideal for recent IT or computer science graduates, eager learners
Training provided, work-life balance, real-world experience in IT","C, R, SSIS",,https://au.jora.com/job/Database-Administrator-eae279d30e1a1353863bb25955ab2b7d
Level 1 Support IT Officer,Best Sheds,Kembla,NSW,"Provide IT support, helpdesk management, equipment maintenance and setup
Minimum 1-2 years IT support experience, Microsoft 365 knowledge
Network setup, troubleshooting, liaising with IT Manager, team player","C, IT Support, R",2,https://au.jora.com/job/Level-1-Support-75180a59a96e44e143dd1c497956d735
Service Desk Analyst / Level 1 Helpdesk / L1 Support - Various locations,Viatek Technology,Cremorne,VIC,"First point of contact for clients, troubleshooting and resolving queries
Opportunity to develop IT skills, certifications, and work independently
Onboarding, training, and professional development support provided","C, R",,https://au.jora.com/job/Service-Desk-Analyst-5c6d775d5e2a19bb6bb257d2949d7496
Level 1 Helpdesk Technician,Hays Recruitment,Prahran,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and resolve technical issues within SLAs
Experience with Windows, macOS, Active Directory, Exchange, and certifications","Active Directory, C, IT Support, R",,https://au.jora.com/job/Helpdesk-Technician-5c9b2c5eb7dca3d04ad666bd8cd4c4c3
Helpdesk Support (Level 1),West Recruitment,Sydney Western Suburbs,NSW,"First point of contact for internal customer support
Logging support requests and ensuring SLAs are met
1-2 years support experience, MS Office proficiency required","C, R",2,https://au.jora.com/job/Helpdesk-Support-Level-5418ff734b42ae389f70a28fa711f088
Help Desk Analyst,CSR Limited,Ryde,NSW,"Provide first-level technical support for IT systems and hardware
Log, categorize, escalate incidents, contribute to process improvements
Advanced understanding of Windows, MS Office, LAN/WAN, and Active Directory","Active Directory, C, Go, R, Scala",,https://au.jora.com/job/Help-Desk-Analyst-e4aec7a06b0b650364c092f7d7446b2d
Level 1 IT Support Technician (Remote Fulltime),Flying Donkey IT,Brisbane,QLD,"Provide Level 1 technical support via phone, email, chat
Maintain and troubleshoot hardware, software, and network systems
Administer Active Directory, Microsoft 365, IP phone systems","Active Directory, C, R",,https://au.jora.com/job/Level-1-IT-71a9885c2f7032a4b00581970e969a51
Junior IT Systems Support,seek.com.au,Bowen Hills,QLD,"Provide helpdesk support to team and online learners
Manage user access policies, licenses, and internet security
Required: MS365 knowledge, workstation setup, SQL familiarity","C, R, SQL",,https://au.jora.com/job/Junior-IT-Systems-10d9941a98977aa4ae21608fc4fd7be5
Junior IT Support Technician,Oui Recruitment,Perth,WA,"Provide customer service, troubleshoot hardware and software problems
Assist with systems administration, networking tasks, and onsite visits
Require driver's license, certifications like CCNA, NSE 1-3, MS-900","C, Networking, R, SSIS",,https://au.jora.com/job/Junior-IT-Support-fd9ac00bf17a4cf7f94bdcdbce7b25a5
Desktop Support,Randstad,Bankstown,NSW,We're recruiting a Service Desk Support Officer to provide responsive Level 1 & 2 IT support within a busy and supportive team...,"C, IT Support, R, Service Desk",,https://au.jora.com/job/Desktop-Support-a5131bd921884717048c5b83cb9c9fb9
IT Support Cadet,Dragnet Technology & Consulting,Mount Pleasant,WA,"Entry-level role supporting Network Engineers with technical tasks
Requires passion for technology, strong communication, and organizational skills
Opportunity for career growth in IT with training provided","C, R, communication",,https://au.jora.com/job/Cadet-cc391aa099501c31009a5f5e8222644f
IT Level 1 Support,ACS Foundation,Sydney,NSW,"Provide Level 1 IT support, troubleshoot technical issues
Manage ticket queue, escalate to Level 2 support as needed
Create technical documentation, require IT-related degree in Australia","C, IT Support, R, Scala",,https://au.jora.com/job/IT-Level-1-c2d65adfc30212bdab0914636ee11e7f
Level 1 IT Support Technician,KMT Group,Melbourne,VIC,"Provide exceptional customer service for IT infrastructure-related issues
Showcase technical troubleshooting skills and strong communication abilities
IT qualifications, certifications, 6-12 months hands-on experience needed","C, R, communication",,https://au.jora.com/job/Level-1-IT-57a670c81e5ed49e65e4d921e46e7af1
Service Desk Consultant,Catalytic IT,Burswood,WA,"Provide technical support for clients on various platforms
Resolve client issues through effective questioning and troubleshooting
Opportunities for growth within a rewarding and diverse environment","C, R",,https://au.jora.com/job/Service-Desk-Consultant-6b95e2afd9a1151aefca0a87c2dffafe
